127.0.0.1, 2018-06-02 21:02:04, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/default/index, HTTP/1.1, 200, 1.081000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
00
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-02 21:02:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:06, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:06, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/default/index, HTTP/1.1, 200, 0.273000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/css/calendar.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/js/calendar.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.008000

127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:10, GET, /admin/static/_2.15.4/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-02 21:02:18, POST, /admin/default/index, HTTP/1.1, 303, 0.060000
127.0.0.1, 2018-06-02 21:02:18, GET, /admin/default/site, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-06-02 21:02:18, GET, /admin/static/_2.15.4/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:18, GET, /admin/static/_2.15.4/images/folder_locked.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-02 21:02:18, GET, /admin/static/_2.15.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-02 21:02:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.688000
127.0.0.1, 2018-06-02 21:02:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-02 21:02:58, POST, /admin/default/site, HTTP/1.1, 303, 0.836000
127.0.0.1, 2018-06-02 21:02:58, GET, /admin/default/design/rip, HTTP/1.1, 200, 0.268000
127.0.0.1, 2018-06-02 21:02:58, GET, /admin/static/_2.15.4/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-02 21:02:58, GET, /admin/static/_2.15.4/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-02 21:02:58, GET, /admin/static/_2.15.4/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-02 21:02:58, GET, /admin/static/_2.15.4/images/test_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-02 21:02:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:24:50, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.652000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-06-04 12:24:51, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-06-04 12:24:52, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-04 12:24:52, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:24:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-06-04 12:24:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/default/index, HTTP/1.1, 200, 0.325000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/js/jquery.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/js/web2py.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/js/calendar.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/css/calendar.css, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/images/questions.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-04 12:24:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:02, POST, /admin/default/index, HTTP/1.1, 303, 0.062000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/default/site, HTTP/1.1, 200, 0.083000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/static/_2.15.4/images/folder.png, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/static/_2.15.4/images/folder_locked.png, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/static/_2.15.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-06-04 12:25:04, POST, /admin/default/check_version, HTTP/1.1, 200, 1.238000
127.0.0.1, 2018-06-04 12:25:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/default/design/rip, HTTP/1.1, 200, 0.411000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/search.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/help.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/delete_icon.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/test_icon.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-04 12:25:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/default/edit/rip/views/default/index.html, HTTP/1.1, 200, 0.129000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.034000
